State,Abbreviation,Largest Industry
Alabama,AL,Ambulatory health care services
Alaska,AK,Oil and gas extraction
Arizona,AZ,Ambulatory health care services
Arkansas,AR,Broadcasting and telecommunications
California,CA,Computer and electronic products manufacturing
Colorado,CO,Broadcasting and telecommunications
Connecticut,CT,Insurance carriers and related activities
Delaware,DE," Federal Reserve banks, credit intermediation, and related services"
Florida,FL, Ambulatory health care services
Georgia,GA,"Federal Reserve banks, credit intermediation, and related services"
Hawaii,HI,Accommodation
Idaho,ID,Computer and electronic products manufacturing
Illinois,IL,Insurance carriers and related activities
Indiana,IN,Chemical products manufacturing
Iowa,IA, Insurance carriers and related activities
Kansas,KS,Hospitals and nursing and residential care facilities
Kentucky,KY,"Motor vehicles, bodies and trailers, and parts manufacturing"
Louisiana,LA, Chemical products manufacturing
Maine,ME,Hospitals and nursing and residential care facilities
Maryland,MD,Ambulatory health care services
Massachusetts,MA,Hospitals and nursing and residential care facilities
Michigan,MI," Motor vehicles, bodies and trailers, and parts manufacturing"
Minnesota,MN,Ambulatory health care services
Mississippi,MS,Ambulatory health care services
Missouri,MO,Hospitals and nursing and residential care facilities
Montana,MT,Hospitals and nursing and residential care facilities
Nebraska,NE, Insurance carriers and related activities
Nevada,NV,Accommodation
New Hampshire,NH,Insurance carriers and related activities
New Jersey,NJ,Ambulatory health care services
New Mexico,NM,Oil and gas extraction
New York,NY,"Federal Reserve banks, credit intermediation, and related services"
North Carolina,NC,"Federal Reserve banks, credit intermediation, and related services"
North Dakota,ND,Support activities for mining
Ohio,OH,Hospitals and nursing and residential care facilities
Oklahoma,OK,Oil and gas extraction
Oregon,OR,Computer and electronic products manufacturing
Pennsylvania,PA,Hospitals and nursing and residential care facilities
Rhode Island,RI,Hospitals and nursing and residential care facilities
South Carolina,SC, Administrative and support services
South Dakota,SD,"Federal Reserve banks, credit intermediation, and related services"
Tennessee,TN,Ambulatory health care services
Texas,TX, Oil and gas extraction
Utah,UT," Federal Reserve banks, credit intermediation, and related services"
Vermont,VT,Hospitals and nursing and residential care facilities
Virginia,VA,Food and beverage and tobacco products manufacturing
Washington,WA,"Publishing industries, except Internet (includes software)"
West Virginia,WV,"Mining, except oil and gas"
Wisconsin,WI, Insurance carriers and related activities
Wyoming,WY,"Mining, except oil and gas"
