gvkey,datadate,fyear,indfmt,tic,conm,curcd,at,ci,emp,lt,txpd,xopr,costat,mkvalt,prcc_f,city,state
1045,20161231,2016,INDL,AAL,AMERICAN AIRLINES GROUP INC,USD,51274,2325,122.3,47489,16,32347,A,23685.5569,46.69,Fort Worth,TX
1050,20161231,2016,INDL,CECE,CECO ENVIRONMENTAL CORP,USD,498.634,,,308.552,,385.126,A,476.5599,13.95,Cincinnati,OH
1062,20161130,2016,FS,ASA,ASA GOLD AND PRECIOUS METALS,USD,245.02,,,1.791,,,A,208.5249,10.81,San Mateo,CA
1062,20161130,2016,INDL,ASA,ASA GOLD AND PRECIOUS METALS,USD,245.02,83.257,,1.791,,3.21,A,208.5249,10.81,San Mateo,CA
1075,20161231,2016,INDL,PNW,PINNACLE WEST CAPITAL CORP,USD,16004.253,462.453,6.339,11068.341,9.956,2156.869,A,8687.6261,78.03,Phoenix,AZ
1076,20161231,2016,INDL,AAN,AARON'S INC,USD,2615.736,139.269,11.5,1134.138,-54.258,1560.912,A,2285.6535,31.99,Atlanta,GA
1078,20161231,2016,INDL,ABT,ABBOTT LABORATORIES,USD,52666,795,75,31949,620,15878,A,56572.8983,38.41,Abbott Park,IL
1094,20160630,2016,INDL,ACET,ACETO CORP,USD,540.778,35.537,0.27,236.336,16.076,487.392,A,647.8346,21.89,Port Washington,NY
1096,20161231,2016,INDL,MRCBF,MORGUARD CORP,CAD,9588.078,205.437,,5624.643,18.511,478.973,A,2098.3111,175.9,Mississauga,ON
1104,20161231,2016,INDL,ACU,ACME UNITED CORP,USD,92.067,,,45.946,,116.132,A,85.0203,25.57,Fairfield,CT
1119,20161231,2016,INDL,ADX,ADAMS DIVERSIFIED EQUITY FD,USD,,,,,,,A,,12.71,Baltimore,MD
1161,20161231,2016,INDL,AMD,ADVANCED MICRO DEVICES,USD,3321,-494,8.2,2905,20,4331,A,10602.9,11.34,Sunnyvale,CA
1166,20161231,2016,INDL,ASMIY,ASM INTERNATIONAL NV,USD,2266.847,184.51,1.67,139.716,7.835,491.944,A,2273.008,38,Almere,
1177,20161231,2016,INDL,AET,AETNA INC,USD,69146,2034,49.5,51203,1580,57554,A,43614.317,124.01,Hartford,CT
1177,20161231,2016,FS,AET,AETNA INC,USD,69146,,49.5,51203,,,A,43614.317,124.01,Hartford,CT
1186,20161231,2016,INDL,AEM,AGNICO EAGLE MINES LTD,USD,7107.951,188.311,8.377,2615.477,105.184,1161.49,A,9448.53,42,Toronto,ON
1209,20160930,2016,INDL,APD,AIR PRODUCTS & CHEMICALS INC,USD,18055.3,403.9,18.6,10841.9,440.8,6458.1,A,32676.5493,150.34,Allentown,PA
1224,20160930,2016,INDL,EGN1,ALABAMA GAS CORP,USD,1592.3,53.2,0.825,725,-0.8,229.2,A,,,Birmingham,AL
1225,20161231,2016,INDL,SO1,ALABAMA POWER CO,USD,22516,841,6.805,15912,-108,3521,A,,,Birmingham,AL
1228,20160630,2016,INDL,ALAN,ALANCO TECHNOLOGIES INC,USD,4.044,-1.595,,1.704,0,1.63,A,1.096,0.22,Scottsdale,AZ
1230,20161231,2016,INDL,ALK,ALASKA AIR GROUP INC,USD,9962,812,19.112,7031,459,4102,A,10942.8934,88.73,Seattle,WA
1254,20161231,2016,INDL,MATX,MATSON INC,USD,2015.5,81.3,1.925,1544,15.6,1706.1,A,1518.231,35.39,Honolulu,HI
1257,20161231,2016,FS,ALX,ALEXANDER'S INC,USD,1451.23,,0.071,1098.385,,,A,2179.5982,426.87,Paramus,NJ
1257,20161231,2016,INDL,ALX,ALEXANDER'S INC,USD,1451.23,81.337,0.071,1098.385,,121.475,A,2179.5982,426.87,Paramus,NJ
1262,20161231,2016,INDL,AGMJF,ALGOMA CENTRAL CORP,CAD,1036.013,33.572,2,394.463,-2.343,311.461,A,476.6965,12.25,St. Catharines,ON
1266,20160930,2016,INDL,ALCO,ALICO INC,USD,458.662,6.959,0.333,280.399,-0.878,105.57,A,223.3678,26.86,Fort Myers,FL
1274,20161231,2016,INDL,Y,ALLEGHANY CORP,USD,23756.591,453.675,3.42,15741.926,83.023,5241.146,A,9371.1292,608.12,New York,NY
1274,20161231,2016,FS,Y,ALLEGHANY CORP,USD,23756.591,,3.42,15741.926,,,A,9371.1292,608.12,New York,NY
1300,20161231,2016,INDL,HON,HONEYWELL INTERNATIONAL INC,USD,54146,4667,131,34596,1142,31163,A,88138.68,115.85,Morris Plains,NJ
1327,20160930,2016,INDL,SWKS,SKYWORKS SOLUTIONS INC,USD,3855.4,992.5,7.3,314,165.9,1910.2,A,14078.286,76.14,Woburn,MA
1352,20161231,2016,INDL,GYLD,ARROW DOW JONES GLBL YLD ETF,USD,,,,,,,A,,18.43,Olney,MD
1380,20161231,2016,INDL,HES,HESS CORP,USD,28621,-6116,2.304,13030,-132,3654,A,19716.2177,62.29,New York,NY
1410,20161031,2016,INDL,ABM,ABM INDUSTRIES INC,USD,2281.2,30.7,110,1307.2,12.6,4968.8,A,2172.8089,39.08,New York,NY
1414,20161231,2016,INDL,PRI,PRIMERICA INC,USD,11438.943,236.777,2.662,10217.569,45.402,1138.203,A,3161.6072,69.15,Duluth,GA
1414,20161231,2016,FS,PRI,PRIMERICA INC,USD,11438.943,,2.662,10217.569,,,A,3161.6072,69.15,Duluth,GA
1417,20160630,2016,INDL,VBF,INVESCO BOND FUND,USD,,,,,,,A,,18.89,Atlanta,GA
1439,20161231,2016,INDL,ECOL,US ECOLOGY INC,USD,776.4,36.593,1.45,496.376,25.729,367.804,A,1070.143,49.15,Boise,ID
1440,20161231,2016,INDL,AEP,AMERICAN ELECTRIC POWER CO,USD,63467.7,588.8,17.634,46047.6,29.5,10942.9,A,30958.1875,62.96,Columbus,OH
1447,20161231,2016,FS,AXP,AMERICAN EXPRESS CO,USD,158893,,56.4,138392,,,A,66968.32,74.08,New York,NY
1447,20161231,2016,INDL,AXP,AMERICAN EXPRESS CO,USD,158893,5158,56.4,138392,3000,24654,A,66968.32,74.08,New York,NY
1448,20161231,2016,INDL,AXP1,AMERICAN EXPRESS CREDIT CORP,USD,31936,90,0.006,29727,45,151,A,,,New York,NY
1449,20161231,2016,INDL,AFL,AFLAC INC,USD,129819,4664,10.212,109337,1526,18039,A,28244.376,69.6,Columbus,GA
1449,20161231,2016,FS,AFL,AFLAC INC,USD,129819,,10.212,109337,,,A,28244.376,69.6,Columbus,GA
1487,20161231,2016,INDL,AIG,AMERICAN INTERNATIONAL GROUP,USD,498264,344,56.4,421406,493,46721,A,65005.3942,65.31,New York,NY
1487,20161231,2016,FS,AIG,AMERICAN INTERNATIONAL GROUP,USD,498264,,56.4,421406,,,A,65005.3942,65.31,New York,NY
1507,20161231,2016,INDL,HYEM,VANECK VECTORS EMG MKT HIGH,USD,,,,,,,A,,24.04,New York,NY
1526,20161231,2016,INDL,ANAT,AMERICAN NATIONAL INSURANCE,USD,24533.222,285.946,4.597,19871.727,33.367,2983.496,A,3353.8782,124.61,Galveston,TX
1526,20161231,2016,FS,ANAT,AMERICAN NATIONAL INSURANCE,USD,24533.222,,4.597,19871.727,,,A,3353.8782,124.61,Galveston,TX
1585,20161231,2016,INDL,AVD,AMERICAN VANGUARD CORP,USD,429.956,11.714,0.395,147.599,4.947,275.246,A,562.4164,19.15,Newport Beach,CA
1598,20161231,2016,INDL,AME,AMETEK INC,USD,7100.674,375.4,15.7,3844.161,180.8,2832.918,A,11147.8194,48.6,Berwyn,PA
1602,20161231,2016,INDL,AMGN,AMGEN INC,USD,77626,7731,19.2,47751,1100,10991,A,107932.222,146.21,Thousand Oaks,CA
1613,20161231,2016,INDL,AP,AMPCO-PITTSBURGH CORP,USD,565.889,-83.209,1.915,416.055,4.404,327.171,A,205.5393,16.75,Carnegie,PA
1632,20161031,2016,INDL,ADI,ANALOG DEVICES,USD,7970.278,838.701,10,2804.66,77.918,2078.012,A,19753.7611,64.1,Norwood,MA
1633,20160731,2016,INDL,ALOG,ANALOGIC CORP,USD,632.897,8.173,1.577,101.72,-1.494,440.175,A,1041.5959,84.02,Peabody,MA
1659,20161231,2016,INDL,ANDE,ANDERSONS INC,USD,2232.849,22.941,2.998,1442.152,-10.587,3813.354,A,1261.8363,44.7,Maumee,OH
1661,20161231,2016,INDL,NBR,NABORS INDUSTRIES LTD,USD,8187.015,-994.268,13,4932.22,34.479,1609.455,A,4656.37,16.4,Hamilton,
1678,20161231,2016,INDL,APA,APACHE CORP,USD,22519,-1266,3.727,14840,305,2913,A,24083.0568,63.47,Houston,TX
1689,20161231,2016,INDL,AEP1,APPALACHIAN POWER,USD,11977.2,363.5,1.845,8393.7,22.1,1869.4,A,,,Columbus,OH
1690,20160930,2016,INDL,AAPL,APPLE INC,USD,321686,46666,116,193437,10444,145815,A,603253.5663,113.05,Cupertino,CA
1704,20161031,2016,INDL,AMAT,APPLIED MATERIALS INC,USD,14588,1698,16.7,7371,44,8277,A,31348.24,29.08,Santa Clara,CA
1706,20160831,2016,INDL,ATU,ACTUANT CORP  -CL A,USD,1442.538,-143.357,5.2,921.588,21.4,992.976,A,1404.8738,23.83,Menomonee Falls,WI
1712,20161231,2016,INDL,TREC,TRECORA RESOURCES,USD,292.099,,,127.723,,183.915,A,331.015,13.85,Sugar Land,TX
1718,20160630,2016,INDL,AOXY,ADVANCED OXYGEN TECHNOLOGY,USD,0.643,0.003,0.001,0.379,,0.013,A,0.1376,0.06,Randolph,VT
1722,20161231,2016,INDL,ADM,ARCHER-DANIELS-MIDLAND CO,USD,39769,835,31.8,22564,398,59783,A,26157.45,45.65,Chicago,IL
1742,20161231,2016,INDL,PNW1,ARIZONA PUBLIC SERVICE CO,USD,15931.175,483.308,6.244,10893.205,26.864,2127.512,A,,,Phoenix,AZ
1743,20161231,2016,INDL,ARCB,ARCBEST CORP,USD,1309.992,22.731,13,711.095,-8.2,2560.197,A,708.0889,27.65,Fort Smith,AR
1745,20161231,2016,INDL,ETR1,ENTERGY ARKANSAS,USD,9606.117,167.212,1.242,7321.45,-135.709,1422.455,A,,,Little Rock,AR
