"id","date","year","industry_format","ticker","name","currency","total_assets","income","employee","total_liabilities","income_tax_paid","operating_expenses","status","market_value","price","city","abbreviation"
"1045","20161231","2016","INDL","AAL","AMERICAN AIRLINES GROUP INC","USD","51274","2325","122.3","47489","16","32347","A","23685.5569","46.69","Fort Worth","TX"
"1075","20161231","2016","INDL","PNW","PINNACLE WEST CAPITAL CORP","USD","16004.253","462.453","6.339","11068.341","9.956","2156.869","A","8687.6261","78.03","Phoenix","AZ"
"1076","20161231","2016","INDL","AAN","AARONS INC","USD","2615.736","139.269","11.5","1134.138","-54.258","1560.912","A","2285.6535","31.99","Atlanta","GA"
"1078","20161231","2016","INDL","ABT","ABBOTT LABORATORIES","USD","52666","795","75","31949","620","15878","A","56572.8983","38.41","Abbott Park","IL"
"1094","20160630","2016","INDL","ACET","ACETO CORP","USD","540.778","35.537","0.27","236.336","16.076","487.392","A","647.8346","21.89","Port Washington","NY"
"1161","20161231","2016","INDL","AMD","ADVANCED MICRO DEVICES","USD","3321","-494","8.2","2905","20","4331","A","10602.9","11.34","Sunnyvale","CA"
"1177","20161231","2016","INDL","AET","AETNA INC","USD","69146","2034","49.5","51203","1580","57554","A","43614.317","124.01","Hartford","CT"
"1186","20161231","2016","INDL","AEM","AGNICO EAGLE MINES LTD","USD","7107.951","188.311","8.377","2615.477","105.184","1161.49","A","9448.53","42","Toronto","ON"
"1209","20160930","2016","INDL","APD","AIR PRODUCTS  and  CHEMICALS INC","USD","18055.3","403.9","18.6","10841.9","440.8","6458.1","A","32676.5493","150.34","Allentown","PA"
"1230","20161231","2016","INDL","ALK","ALASKA AIR GROUP INC","USD","9962","812","19.112","7031","459","4102","A","10942.8934","88.73","Seattle","WA"
"1254","20161231","2016","INDL","MATX","MATSON INC","USD","2015.5","81.3","1.925","1544","15.6","1706.1","A","1518.231","35.39","Honolulu","HI"
"1262","20161231","2016","INDL","AGMJF","ALGOMA CENTRAL CORP","CAD","1036.013","33.572","2","394.463","-2.343","311.461","A","476.6965","12.25","St. Catharines","ON"
"1266","20160930","2016","INDL","ALCO","ALICO INC","USD","458.662","6.959","0.333","280.399","-0.878","105.57","A","223.3678","26.86","Fort Myers","FL"
"1274","20161231","2016","INDL","Y","ALLEGHANY CORP","USD","23756.591","453.675","3.42","15741.926","83.023","5241.146","A","9371.1292","608.12","New York","NY"
"1300","20161231","2016","INDL","HON","HONEYWELL INTERNATIONAL INC","USD","54146","4667","131","34596","1142","31163","A","88138.68","115.85","Morris Plains","NJ"
"1327","20160930","2016","INDL","SWKS","SKYWORKS SOLUTIONS INC","USD","3855.4","992.5","7.3","314","165.9","1910.2","A","14078.286","76.14","Woburn","MA"
"1380","20161231","2016","INDL","HES","HESS CORP","USD","28621","-6116","2.304","13030","-132","3654","A","19716.2177","62.29","New York","NY"
